"12/14","12/15","12/16","12/17","12/18","12/19","12/20"
"이와","병원진료","재활","20:00","","재활","22:00"
"","","","하카+@","","하카+@",""
"","","","파워워시2","","경도",""
"","","","","","",""
"12/21","12/22","12/23","12/24","12/25 (크리스마스)","12/26","12/27"
"20:00","길현","20:00","20:00","","병원재활",""
"통깡","병원피검사","연말시상식","하카 컨텐츠","","",""
"질답게임","","병원재활","","","",""
"","","","","","",""
"12/28","12/29","12/30","12/31","'25/1/1 ('25년 신정)","'25/1/2","'25/1/3"
"20:00","병원","병원진료","병원진료","","재활","20:00"
"광고(마비모)","","","18:30 광고","","하카",""
"","","","20:00 롤링페이퍼","","","컴조립겜"
"","","","","","",""
"'25/1/4","'25/1/5","'25/1/6","'25/1/7","'25/1/8","'25/1/9","'25/1/10"
"20:00","밥먹기","20:00","","","","20:00"
"통깡+@","","밍아","","","","통깡+@"
"미메시스","","데바데","","","","좀보이드"
